Loan_ID,Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,feature1,feature2,Loan_Status
LP001002,0.0,0.0,1.0,0.0,0.07220987654320987,0.0,0.1657142857142857,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.19391728880530384,0.24653786972131986,1
LP001003,0.0,1.0,1.0,0.0,0.05658024691358025,0.03619171046631627,0.18285714285714286,0.75,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.20547620350608364,0.23674273518305697,0
LP001005,0.0,1.0,1.0,1.0,0.037037037037037035,0.0,0.09428571428571429,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2151111111111111,0.48066666666666663,1
LP001006,0.0,1.0,0.0,0.0,0.03188888888888889,0.05659154726762186,0.17142857142857143,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2374687984888349,0.29184375632463067,1
LP001008,0.0,0.0,1.0,0.0,0.07407407407407407,0.0,0.20142857142857143,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22977777777777778,0.24033333333333332,1
LP001011,0.0,1.0,1.0,1.0,0.06687654320987654,0.100703194374445,0.38142857142857145,0.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.27157668435105237,0.1500052012899199,1
LP001013,0.0,1.0,0.0,0.0,0.02880246913580247,0.03638370893032856,0.1357142857142857,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.24133252504257957,0.37464276435437777,1
LP001014,0.0,1.0,1.0,0.0,0.037481481481481484,0.060095519235846113,0.2257142857142857,0.75,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2788608102687525,0.2602888086642599,0
LP001018,0.0,1.0,1.0,0.0,0.04945679012345679,0.03662370701034392,0.24,0.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.296939021450952,0.2606652205350687,1
LP001020,0.0,1.0,1.0,0.0,0.15853086419753087,0.2632298941608467,0.49857142857142855,0.75,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.14332581983470302,0.06056533243731362,0
LP001024,0.0,1.0,1.0,0.0,0.03950617283950617,0.01679986560107519,0.1,0.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.17549857549857548,0.3697435897435898,1
LP001027,0.0,1.0,1.0,0.0,0.030864197530864196,0.04415964672282622,0.15571428571428572,0.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.24557091653865845,0.33225806451612905,1
LP001028,0.0,1.0,1.0,0.0,0.03793827160493827,0.1945424436604507,0.2857142857142857,0.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.17493117054795201,0.1289918597370069,1
LP001029,0.0,0.0,1.0,0.0,0.022876543209876542,0.0681594547243622,0.16285714285714287,0.75,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.23751686909581646,0.3072661410611549,0
LP001030,0.0,1.0,1.0,0.0,0.016037037037037037,0.026063791489668083,0.024285714285714285,0.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.06969485208478919,0.20153738644304683,1
LP001032,0.0,0.0,1.0,0.0,0.06111111111111111,0.0,0.17857142857142858,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.24691358024691357,0.2913131313131313,1
LP001034,0.0,0.0,0.0,0.0,0.04439506172839506,0.0,0.14285714285714285,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2719070572240761,0.26733407489803485,1
LP001036,1.0,0.0,1.0,0.0,0.043333333333333335,0.0,0.10857142857142857,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21171256726812282,0.4108262108262108,0
LP001038,0.0,1.0,0.0,0.0,0.060333333333333336,0.0,0.19,0.75,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.26610281245026485,0.29506854921219566,0
