Loan_ID,Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,Loan_Status
LP001002,0.0,0.0,1.0,0.0,0.07220987654320987,0.0,0.1657142857142857,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.19391728880530384,0.24653786972131986,0.07758620689655173,1.0,0.0,0.12605603448275862,0.0,0.053934571175950484,1
LP001003,0.0,1.0,1.0,0.0,0.05658024691358025,0.03619171046631627,0.18285714285714286,0.75,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.20547620350608364,0.23674273518305697,0.0703125,0.7524216056476769,0.2475783943523231,0.08951171875,0.03133588970653427,0.046474358974358976,0
LP001005,0.0,1.0,1.0,1.0,0.037037037037037035,0.0,0.09428571428571429,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2151111111111111,0.48066666666666663,0.13636363636363635,1.0,0.0,0.11363636363636363,0.0,0.11421911421911421,1
LP001006,0.0,1.0,0.0,0.0,0.03188888888888889,0.05659154726762186,0.17142857142857143,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2374687984888349,0.29184375632463067,0.075,0.5227686703096539,0.4772313296903461,0.0538125,0.05226527174394893,0.05128205128205128,1
LP001008,0.0,0.0,1.0,0.0,0.07407407407407407,0.0,0.20142857142857143,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22977777777777778,0.24033333333333332,0.06382978723404256,1.0,0.0,0.10638297872340426,0.0,0.03982542280414621,1
LP001011,0.0,1.0,1.0,1.0,0.06687654320987654,0.100703194374445,0.38142857142857145,0.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.27157668435105237,0.1500052012899199,0.033707865168539325,0.5635077499219806,0.43649225007801934,0.05072097378277154,0.041799864718264336,0.008931143762604437,1
LP001013,0.0,1.0,0.0,0.0,0.02880246913580247,0.03638370893032856,0.1357142857142857,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.24133252504257957,0.37464276435437777,0.09473684210526315,0.606131462717589,0.393868537282411,0.06139473684210526,0.042444972258645554,0.07152496626180836,1
LP001014,0.0,1.0,1.0,0.0,0.037481481481481484,0.060095519235846113,0.2257142857142857,0.75,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2788608102687525,0.2602888086642599,0.0569620253164557,0.548014440433213,0.451985559566787,0.0480379746835443,0.04215294245719333,0.03278156442713404,0
LP001018,0.0,1.0,1.0,0.0,0.04945679012345679,0.03662370701034392,0.24,0.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.296939021450952,0.2606652205350687,0.05357142857142857,0.7241503976861895,0.27584960231381056,0.059613095238095236,0.024159943257380977,0.029304029304029304,1
LP001020,0.0,1.0,1.0,0.0,0.15853086419753087,0.2632298941608467,0.49857142857142855,0.75,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.14332581983470302,0.06056533243731362,0.025787965616045842,0.5393338653450376,0.4606661346549624,0.09198424068767908,0.08358968196849333,0.0008081698626111233,0
LP001024,0.0,1.0,1.0,0.0,0.03950617283950617,0.01679986560107519,0.1,0.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.17549857549857548,0.3697435897435898,0.1285714285714286,0.8205128205128205,0.1794871794871795,0.11428571428571428,0.026598102668676304,0.10622710622710624,1
LP001027,0.0,1.0,1.0,0.0,0.030864197530864196,0.04415964672282622,0.15571428571428572,0.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.24557091653865845,0.33225806451612905,0.08256880733944955,0.576036866359447,0.423963133640553,0.05733944954128441,0.0448995494590499,0.05904493060456364,1
LP001028,0.0,1.0,1.0,0.0,0.03793827160493827,0.1945424436604507,0.2857142857142857,0.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.17493117054795201,0.1289918597370069,0.045,0.2748904195366312,0.7251095804633688,0.0384125,0.10780211011614506,0.020512820512820513,1
LP001029,0.0,0.0,1.0,0.0,0.022876543209876542,0.0681594547243622,0.16285714285714287,0.75,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.23751686909581646,0.3072661410611549,0.07894736842105263,0.39484338376305134,0.6051566162369486,0.0406359649122807,0.06626193998161466,0.0553306342780027,0
LP001030,0.0,1.0,1.0,0.0,0.016037037037037037,0.026063791489668083,0.024285714285714285,0.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.06969485208478919,0.20153738644304683,0.1764705882352941,0.5446540880503145,0.45534591194968554,0.19102941176470586,0.16991493822460274,0.15535444947209653,1
LP001032,0.0,0.0,1.0,0.0,0.06111111111111111,0.0,0.17857142857142858,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.24691358024691357,0.2913131313131313,0.072,1.0,0.0,0.099,0.0,0.0482051282051282,1
LP001034,0.0,0.0,0.0,0.0,0.04439506172839506,0.0,0.14285714285714285,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2719070572240761,0.26733407489803485,0.06,1.0,0.0,0.08990000000000001,0.0,0.035897435897435895,1
LP001036,1.0,0.0,1.0,0.0,0.043333333333333335,0.0,0.10857142857142857,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21171256726812282,0.4108262108262108,0.11842105263157894,1.0,0.0,0.11546052631578947,0.0,0.09581646423751687,0
LP001038,0.0,1.0,0.0,0.0,0.060333333333333336,0.0,0.19,0.75,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.26610281245026485,0.29506854921219566,0.06766917293233082,1.0,0.0,0.09186090225563909,0.0,0.04376325428957008,0
LP001041,0.0,1.0,1.0,0.0,0.03209876543209877,0.08399932800537596,0.16428571428571428,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.18433515482695811,0.23639344262295084,0.0782608695652174,0.4262295081967213,0.5737704918032787,0.05652173913043478,0.0809507472524931,0.054626532887402456,1
LP001043,0.0,1.0,0.0,0.0,0.0945679012345679,0.0,0.14857142857142858,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13275311865390194,0.18825065274151437,0.08653846153846154,1.0,0.0,0.1841346153846154,0.0,0.0631163708086785,0
LP001046,0.0,1.0,1.0,0.0,0.07351851851851852,0.13499892000863994,0.45,0.75,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2659758203799654,0.12452504317789291,0.02857142857142857,0.5142487046632125,0.48575129533678757,0.04726190476190476,0.04749661190835054,0.003663003663003663,1
LP001047,0.0,1.0,0.0,0.0,0.03209876543209877,0.045863633090935274,0.1657142857142857,0.75,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2514347644030641,0.31966304588782973,0.07758620689655173,0.5763688760806917,0.42363112391930835,0.05603448275862069,0.04381808120675898,0.053934571175950484,0
